tokens;tags
Starte den aktuellen Einsatz;[B-Action, O, B-Task, I-Task]
Rufe einen Angehörigen von Frau Müller an;[B-Action, O, B-Person, O, B-Person, I-Person, O]
Wie lange dauert der aktuelle Einsatz noch;[B-Time, I-Time, O, O, B-Task, I-Task, O]
Wann findet der nächste Einsatz statt;[B-Time, O, O, B-Task, I-Task, O]
Wann findet der aktuelle Einsatz statt;[B-Time, O, O, B-Task, I-Task, O]
Wie lange dauert der aktuelle Einsatz;[B-Time, I-Time, O, O, B-Task, I-Task]
Wie lange dauert der nächste Einsatz;[B-Time, I-Time, O, O, B-Task, I-Task]
Wann ist morgen mein erster Einsatz;[B-Time, O, B-Time, O, B-Task, I-Task]
Wann ist heute mein letzer Einsatz;[B-Time, O, B-Time, O, B-Task, I-Task]
Wie lange ist der nächste Einsatz;[B-Time, I-Time, O, O, B-Task, I-Task]
Wie lange brauche ich bis zum nächsten Einsatz;[B-Time, I-Time, B-Entity, O, O, O, B-Task, I-Task]
Wie lange habe ich Zeit bis zum nächsten Einsatz;[B-Time, I-Time, B-Entity, O, O, O, B-Task, I-Task]
Trage den Kilometerstand X als Startstand ein;[B-Action, O, B-Entity, B-Distance, O, B-Entity, O]
Trage den Kilometerstand X als Endstand ein;[B-Action, O, B-Entity, B-Distance, O, B-Entity, O]
Mit welchem Auto fahre ich heute zum Einsatz;[O, O, B-Entity, O, B-Time, O, B-Task]
"Trage im Fahrtenbuch folgende Notiz ein ""…""";[B-Action, O, B-Entity, O, B-Entity, O, O]
Wie ist der Name des Klienten;[O, O, O, B-Entity, O, B-Person]
Wie ist der Name der Klientin;[O, O, O, B-Entity, O, B-Person]
Wer hat das letzte Mal die Klientin Ute Maier betreut;[O, O, O, B-Time, I-Time, O, B-Person, I-Person, I-Person, B-Action]
Starte den Einsatz;[B-Action, O, B-Task]
Beende den Einsatz;[B-Action, O, B-Task]
Wie heißt die klientin;[O, B-Entity, O, B-Person]
Wie heißt der Klient;[O, B-Entity, O, B-Person]
Wie lange zum nächsten Einsatz;[B-Time, O, O, B-Task]
Wie lange dauert der aktuelle Einsatz;[B-Time, I-Time, B-Entity, O, B-Task, I-Task]
Starte Einsatz;[B-Action, B-Task]
Beende Einsatz;[B-Action, B-Task]
Rufe Angehörige an;[B-Action, B-Person, O]
Rufe Angehörigen an;[B-Action, B-Person, O]
Wie viel Zeit bleibt mir für den aktuellen Einsatz noch;[B-Time, I-Time, O, O, B-Task, O]
Wie lange hab ich noch für die Klientin Zeit;[B-Time, I-Time, O, O, O, O, O, B-Person, B-Time]
Wie lange habe ich noch Zeit;[B-Time, I-Time, O, B-Task]
Wann muss ich beim nächsten Einsatz sein;[B-Time, B-Entity, O, O, B-Task, I-Task, O]  
Wie lange fahre ich zum nächsten Einsatz;[B-Time, I-Time, B-Action, O, O, B-Task, I-Task]  
"Füge folgende Notiz zum Einsatz hinzu ""…""";[B-Action, B-Entity, B-Entity, O, B-Task, O, O]  
"Notiz zum Einsatz hinzufügen ""..""";[B-Entity, O, B-Task, B-Action, O]  
"Schreibe die Notiz auf ""..""";[B-Action, O, B-Entity, O, O]  
"Merke dir die Notiz ""..""";[B-Action, O, O, B-Entity, O]  
Wie alt ist der Klient;[B-Entity, B-Entity, O, O, B-Person]  
Wie alt ist der Patient;[B-Entity, B-Entity, O, O, B-Person]  
Wie alt ist die Klientin;[B-Entity, B-Entity, O, O, B-Person]  
Wie alt ist die Patientin;[B-Entity, B-Entity, O, O, B-Person]  
Angehörigen anrufen;[B-Person, B-Action]  
Angehörige von Frau Müller anrufen;[B-Person, O, B-Person, I-Person, B-Action]  
Angehörige von Herrn Maier anrufen;[B-Person, O, B-Person, I-Person, B-Action]  
Startzeit für den Einsatz auf jetzt setzen;[B-Entity, O, O, B-Task, O, B-Time, B-Action]  
jetzt Startzeit für den Einsatz eintragen;[B-Time, B-Entity, O, O, B-Task, B-Action]  
Rufe Frau Mayer an;[B-Action, B-Person, I-Person, O]  
Herrn Globier anrufen;[B-Person, I-Person, B-Action]  
Klienten des nächsten Einsatzes anrufen;[B-Person, O, B-Task, I-Task, B-Action]  
Patienten für nächsten Einsatz anrufen;[B-Person, O, B-Task, I-Task, B-Action]  
Anruf an Frau Hans;[B-Action, O, B-Person, I-Person]  
Rufe Mia Lober an;[B-Action, B-Person, I-Person, O]  
Starte den neuen Einsatz;[B-Action, O, B-Task, I-Task]  
Beginne den Einsatz für Frau Müller;[B-Action, O, B-Task, O, B-Person, I-Person]  
Beende den aktuellen Einsatz für heute;[B-Action, O, B-Task, I-Task, O, B-Time]  
Setze den Einsatz auf fertig;[B-Action, O, B-Task, O, B-Entity]  
Starte die Schicht für den nächsten Einsatz;[B-Action, O, B-Entity, O, O, B-Task, I-Task]  
