tokens;ner_tags
Starte den aktuellen Einsatz;[B-Action, O, B-Task, I-Task]
Starte den jetzigen Einsatz;[B-Action, O, B-Task, I-Task]
Starte den derzeitigen Einsatz;[B-Action, O, B-Task, I-Task]
Starte den anstehenden Einsatz;[B-Action, O, B-Task, I-Task]
Starte den kommenden Einsatz;[B-Action, O, B-Task, I-Task]
Beende den vorigen Einsatz;[B-Action, O, B-Task, I-Task]
Beende den jetzigen Einsatz;[B-Action, O, B-Task, I-Task]
Beende den derzeitigen Einsatz;[B-Action, O, B-Task, I-Task]
Rufe einen Angehörigen von Frau Müller an;[B-Action, O, B-Person, O, B-Person, I-Person, O]
Rufe einen Angehörigen von Frau Heller an;[B-Action, O, B-Person, O, B-Person, I-Person, O]
Rufe einen Angehörigen von Frau Steiner an;[B-Action, O, B-Person, O, B-Person, I-Person, O]
Rufe einen Verwandten von Frau Müller an;[B-Action, O, B-Person, O, B-Person, I-Person, O]
Rufe einen Verwandten von Frau Heller an;[B-Action, O, B-Person, O, B-Person, I-Person, O]
Rufe einen Verwandten von Frau Steiner an;[B-Action, O, B-Person, O, B-Person, I-Person, O]
Rufe einen Angehörigen von Herr Müller an;[B-Action, O, B-Person, O, B-Person, I-Person, O]
Rufe einen Angehörigen von Herr Steiner an;[B-Action, O, B-Person, O, B-Person, I-Person, O]
Rufe einen Angehörigen von Herr Heller an;[B-Action, O, B-Person, O, B-Person, I-Person, O]
Rufe einen Verwandten von Herr Müller an;[B-Action, O, B-Person, O, B-Person, I-Person, O]
Rufe einen Verwandten von Herr Heller an;[B-Action, O, B-Person, O, B-Person, I-Person, O]
Rufe einen Verwandten von Herr Steiner an;[B-Action, O, B-Person, O, B-Person, I-Person, O]
Wie lange dauert der aktuelle Einsatz noch;[B-Time, I-Time, O, O, B-Task, I-Task, O]
Wie lange dauert der derzeitige Einsatz noch;[B-Time, I-Time, O, O, B-Task, I-Task, O]
Wie lange dauert der jetzige Einsatz noch;[B-Time, I-Time, O, O, B-Task, I-Task, O]
Wann findet der nächste Einsatz statt;[B-Time, O, O, B-Task, I-Task, O]
Wann findet der aktuelle Einsatz statt;[B-Time, O, O, B-Task, I-Task, O]
Wie lange dauert der aktuelle Einsatz;[B-Time, I-Time, O, O, B-Task, I-Task]
Wie lange dauert der nächste Einsatz;[B-Time, I-Time, O, O, B-Task, I-Task]
Wann ist morgen mein erster Einsatz;[B-Time, O, B-Time, O, B-Task, I-Task]
Wann ist heute mein letzer Einsatz;[B-Time, O, B-Time, O, B-Task, I-Task]
Wie lange ist der nächste Einsatz;[B-Time, I-Time, O, O, B-Task, I-Task]
Wie lange brauche ich bis zum nächsten Einsatz;[B-Time, I-Time, B-Entity, O, O, O, B-Task, I-Task]
Wie lange habe ich Zeit bis zum nächsten Einsatz;[B-Time, I-Time, B-Entity, O, O, O, O, B-Task, I-Task]
