id;Name;Shortname;Unit;Defaultvalue;Format;IsStoppable;IsContinuous;IsNoteRequired;IsFutureEntryAllowed;LowerMaxLimit;LowerWarnLimit;UpperMaxLimit;UpperWarnLimit
0;Wundlänge;Länge;cm;0;;0;0;0;0;0.00;0.00;0.00;0.00
1;Wundbreite;Breite;cm;0;####,##;0;0;0;0;0.00;0.00;0.00;0.00
2;Wundtiefe;Tiefe;cm;0;;0;0;0;0;0.00;0.00;0.00;0.00
3;Wundfläche;Fläche;cm²;0;;0;0;0;0;0.00;0.00;0.00;0.00
4;Temperatur;Temp;°C;;;0;0;0;0;30.00;NULL;42.00;NULL
5;Puls;P;bpm;;999;0;0;0;0;20.00;NULL;220.00;NULL
6;Blutzucker;BZ;mg/dl;;999;0;0;0;0;40.00;NULL;399.00;NULL
7;Sauerstoffsättigung (SpO2);spO2;%;;999;0;0;0;0;50.00;NULL;100.00;NULL
8;Größe;gro;cm;;999;0;1;0;0;1.00;NULL;260.00;NULL
9;Gewicht;gew;kg;;;0;1;0;0;20.00;NULL;300.00;NULL
10;Schmerz (VAS);VAS;;;;0;0;0;0;NULL;NULL;NULL;NULL
11;Schmerz (BESD);BESD;;;;0;0;0;0;NULL;NULL;NULL;NULL
12;Insulin;Insulin;µU/mL;;Format;0;0;0;0;1.00;3.00;40.00;25.00
13;Stuhlgang;Stuhl;;;Format;0;0;0;0;NULL;NULL;NULL;NULL
14;Atemfrequenz;AF;AZ/min;;99;0;0;0;0;NULL;NULL;NULL;NULL
15;Bauchumfang;BU;cm;;999;0;0;0;0;NULL;NULL;NULL;NULL
16;Diastole;dia;mmHg;;9;0;0;0;0;40.00;65.00;150.00;110.00
17;Systole;sys;mmHg;;9;0;0;0;0;80.00;105.00;300.00;290.00
18;Insulin;Insulin;µU/mL;;Format;0;0;0;0;1.00;3.00;40.00;25.00
19;Stuhlgang;Stuhl;;;Format;0;0;0;0;NULL;NULL;NULL;NULL
20;Sonstiges;Sonst;ml;;;0;0;1;0;NULL;NULL;NULL;NULL
