tokens;ner_tags
Starte meinen Einsatz bei Frau Müller um 08:00 Uhr;[B-Action, O, B-Task, O, B-Person, I-Person, O, B-Time, I-Time]
Starte meinen Einsatz jetzt;[B-Action, O, B-Task, B-Time]
Starte meinen Einsatz bei Georg Opel in 5 Minuten;[B-Action, O, B-Task, O, B-Person, I-Person, O, B-Time, I-Time]
Starte den aktuellen Einsatz in 2 Minuten;[B-Action, O, B-Task, I-Task, O, B-Time, I-Time]
Starte meinen Einsatz bei Herrn Tesal um 1245 Uhr;[B-Action, O, B-Task, O, B-Person, I-Person, O, B-Time, I-Time]
Starte den Einsatz bei Herrn Tefal um 1515;[B-Action, O, B-Task, O, B-Person, I-Person, O, B-Time]
Starte die Zeiterfassung für den aktuellen Einsatz;[B-Action, O, B-Entity, O, O, B-Entity, I-Entity]
Starte die Zeiterfassung für den nächsten Einsatz;[B-Action, O, B-Entity, O, O, B-Entity, I-Entity]
Starte die Zeiterfassung für den nächsten Einsatz in 10 Minuten;[B-Action, O, B-Entity, O, O, B-Task, I-Task, O, B-Time, I-Time]
Zeiterfassung für den aktuellen Einsatz starten;[B-Entity, O, O, B-Task, I-Task, B-Action]
Einsatz jetzt starten;[B-Task, B-Time, B-Action]
Einsatz bei Julia Tester starten;[B-Task, O, B-Person, I-Person, B-Action]
Beende den Einsatz bei Herrn Schmidt;[B-Action, O, B-Task, O, B-Person, I-Person]
Beende den Einsatz;[B-Action, O, B-Task]
Beende den aktuellen Einsatz;[B-Action, O, B-Task, I-Task]
Beende den aktuellen Einsatz in 5 Minuten;[B-Action, O, B-Task, I-Task, O, B-Time, I-Time]
Aktuellen Einsatz beenden;[B-Task, I-Task, B-Action]
Einsatz beenden;[B-Task, B-Action]
Zeiterfassung für den aktuellen Einsatz beenden;[B-Entity, O, O, B-Task, I-Task, B-Action]
Zeiterfassung für meinen aktuellen Einsatz beenden;[B-Entity, O, O, B-Task, I-Task, B-Action]
Beende die Zeiterfassung für meinen aktuellen Einsatz;[B-Action, O, B-Entity, O, O, B-Task, I-Task]
Beende die Zeiterfassung für den aktuellen Einsatz;[B-Action, O, B-Entity, O, O, B-Task, I-Task]
Beende die Zeiterfassung für den  Einsatz;[B-Action, O, B-Entity, O, O, B-Task]
Einsatz jetzt beenden;[B-Task, B-Time, B-Action]
Einsatz beenden;[B-Task, B-Action]
Beende den Einsatz bei Frau Anders;[B-Action, O, B-Task, O, B-Person, I-Person]
Welche Klienten habe ich heute besucht;[B-Person, I-Person, O, O, B-Time, B-Entity]
Welche Patienten habe ich heute besucht;[B-Person, I-Person, O, O, B-Time, B-Entity]
Welche Klienten habe ich heute betreut;[B-Person, I-Person, O, O, B-Time, B-Entity]
Welche Patienten habe ich heute betreut;[B-Person, I-Person, O, O, B-Time, B-Entity]
Wie viele Klienten habe ich heute betreut;[B-Entity, I-Entity, B-Person, O, O, B-Time, B-Entity]
Wie viele Patienten habe ich heute betreut;[B-Entity, I-Entity, B-Person, O, O, B-Time, B-Entity]
Wie heißen die Klienten die ich heute besucht habe;[O, B-Entity, O, B-Person, O, O, B-Time, B-Entity, O]
Wie heißen die Patienten die ich heute besucht habe;[O, B-Entity, O, B-Person, O, O, B-Time, B-Entity, O]
Welche Patientinnen habe ich heute besucht;[B-Person, I-Person, O, O, B-Time, B-Entity]
Welche Klienteninnen habe ich heute betreut;[B-Person, I-Person, O, O, B-Time, B-Entity]
