tokens;ner_tags
Starte den aktuellen Einsatz;[B-Action, O, B-Time, B-Task]
Starte den jetzigen Einsatz;[B-Action, O, B-Time, B-Task]
Starte den derzeitigen Einsatz;[B-Action, O, B-Time, B-Task]
Starte den anstehenden Einsatz;[B-Action, O, B-Time, B-Task]
Starte den kommenden Einsatz;[B-Action, O, B-Time, B-Task]
Beende den vorigen Einsatz;[B-Action, O, B-Time, B-Task]
Beende den jetzigen Einsatz;[B-Action, O, B-Time, B-Task]
Beende den derzeitigen Einsatz;[B-Action, O, B-Time, B-Task]
Rufe einen Angehörigen von Frau Müller an;[B-Action, O, B-Person, O, B-Person, I-Person, O]
Rufe einen Angehörigen von Frau Heller an;[B-Action, O, B-Person, O, B-Person, I-Person, O]
Rufe einen Angehörigen von Frau Steiner an;[B-Action, O, B-Person, O, B-Person, I-Person, O]
Rufe einen Verwandten von Frau Müller an;[B-Action, O, B-Person, O, B-Person, I-Person, O]
Rufe einen Verwandten von Frau Heller an;[B-Action, O, B-Person, O, B-Person, I-Person, O]
Rufe einen Verwandten von Frau Steiner an;[B-Action, O, B-Person, O, B-Person, I-Person, O]
Rufe einen Angehörigen von Herr Müller an;[B-Action, O, B-Person, O, B-Person, I-Person, O]
Rufe einen Angehörigen von Herr Steiner an;[B-Action, O, B-Person, O, B-Person, I-Person, O]
Rufe einen Angehörigen von Herr Heller an;[B-Action, O, B-Person, O, B-Person, I-Person, O]
Rufe einen Verwandten von Herr Müller an;[B-Action, O, B-Person, O, B-Person, I-Person, O]
Rufe einen Verwandten von Herr Heller an;[B-Action, O, B-Person, O, B-Person, I-Person, O]
Rufe einen Verwandten von Herr Steiner an;[B-Action, O, B-Person, O, B-Person, I-Person, O]
Wie lange dauert der aktuelle Einsatz noch;[B-Question, I-Question, O, O, B-Time, B-Task, O]
Wie lange dauert der derzeitige Einsatz noch;[B-Question, I-Question, O, O, B-Time, B-Task, O]
Wie lange dauert der jetzige Einsatz noch;[B-Question, I-Question, O, O, B-Time, B-Task, O]
Wann findet der nächste Einsatz statt;[B-Time, O, O, B-Time, B-Task, O]
Wann findet der aktuelle Einsatz statt;[B-Time, O, O, B-Time, B-Task, O]
Wie lange dauert der aktuelle Einsatz;[B-Question, I-Question, O, O, B-Time, B-Task]
Wie lange dauert der nächste Einsatz;[B-Question, I-Question, O, O, B-Time, B-Task]
Wann ist morgen mein erster Einsatz;[B-Time, O, B-Time, O, B-Time, B-Task]
Wann ist heute mein letzter Einsatz;[B-Time, O, B-Time, O, B-Time, B-Task]
Wie lange ist der nächste Einsatz;[B-Question, I-Question, O, O, B-Time, B-Task]
Wie lange brauche ich bis zum nächsten Einsatz;[B-Question, I-Question, B-Entity, O, O, O, B-Time, B-Task]
Wie lange habe ich Zeit bis zum nächsten Einsatz;[B-Question, I-Question, O, O, B-Time, O, O, B-Time, B-Task]
Trage den Kilometerstand 666 als Startstand ein;[B-Action, O, B-Entity, B-Distance, O, B-Entity, O]
Trage den Kilometerstand 999 als Endstand ein;[B-Action, O, B-Entity, B-Distance, O, B-Entity, O]
Mit welchem Auto fahre ich heute zum Einsatz;[O, O, B-Entity, O, O, B-Time, O, B-Task]
Trage im Fahrtenbuch folgende Notiz ein;[B-Action, O, B-Entity, O, B-Action, O]
Wie ist der Name des Klienten;[B-Question, I-Question, O, B-Entity, O, B-Person]
Wie ist der Name der Klientin;[B-Question, I-Question, O, B-Entity, O, B-Person]
Wer hat das letzte Mal die Klientin Ute Maier betreut;[B-Question, O, O, B-Time, I-Time, O, B-Person, B-Person, I-Person, B-Entity]
Starte den Einsatz;[B-Action, O, B-Task]
Beende den Einsatz;[B-Action, O, B-Task]
Wie heißt die klientin;[B-Question, I-Question, O, B-Person]
Wie heißt der Klient;[B-Question, I-Question, O, B-Person]
Wie lange zum nächsten Einsatz;[B-Question, I-Question, O, B-Time, B-Task]
Wie lange dauert der aktuelle Einsatz;[B-Question, I-Question, O, O, B-Time, B-Task]
Starte Einsatz;[B-Action, B-Task]
Beende Einsatz;[B-Action, B-Task]
Rufe Angehörige an;[B-Action, B-Person, O]
Rufe Angehörigen an;[B-Action, B-Person, O]
Wie viel Zeit bleibt mir für den aktuellen Einsatz noch;[B-Question, I-Question, B-Time, O, O, O, O, B-Time, B-Task, O]
Wie lange hab ich noch für die Klientin Zeit;[B-Question, I-Question, O, O, O, O, O, B-Person, B-Time]
Wie lange habe ich noch Zeit;[B-Question, I-Question, O, O, O, B-Time]
Wann muss ich beim nächsten Einsatz sein;[B-Time, O, O, O, B-Time, B-Task, O]  
Wie lange fahre ich zum nächsten Einsatz;[B-Question, I-Question, B-Action, O, O, B-Time, B-Task]  
Füge folgende Notiz zum Einsatz hinzu;[B-Action, O, B-Action, O, B-Task, O]  
Notiz zum Einsatz hinzufügen;[B-Action, O, B-Task, B-Action]  
Schreibe die Notiz auf;[B-Action, O, B-Action, O]  
Merke dir die Notiz;[B-Action, O, O, B-Action]  
Wie alt ist der Klient;[B-Question, I-Question, O, O, B-Person]  
Wie alt ist der Patient;[B-Question, I-Question, O, O, B-Person]  
Wie alt ist die Klientin;[B-Question, I-Question, O, O, B-Person]  
Wie alt ist die Patientin;[B-Question, I-Question, O, O, B-Person]  
Angehörigen anrufen;[B-Person, B-Action]  
Angehörige von Frau Müller anrufen;[B-Person, O, B-Person, I-Person, B-Action]  
Angehörige von Herrn Maier anrufen;[B-Person, O, B-Person, I-Person, B-Action]  
Startzeit für den Einsatz auf jetzt setzen;[B-Entity, O, O, B-Task, O, B-Time, B-Action]  
jetzt Startzeit für den Einsatz eintragen;[B-Time, B-Entity, O, O, B-Task, B-Action]  
Rufe Frau Mayer an;[B-Action, B-Person, I-Person, O]  
Herrn Globier anrufen;[B-Person, I-Person, B-Action]  
Klienten des nächsten Einsatzes anrufen;[B-Person, O, B-Time, B-Task, B-Action]  
Patienten für nächsten Einsatz anrufen;[B-Person, O, B-Time, B-Task, B-Action]  
Anruf an Frau Hans;[B-Action, O, B-Person, I-Person]  
Rufe Mia Lober an;[B-Action, B-Person, I-Person, O]  
Starte den neuen Einsatz;[B-Action, O, B-Time, B-Task]  
Beginne den Einsatz für Frau Müller;[B-Action, O, B-Task, O, B-Person, I-Person]  
Beende den aktuellen Einsatz für heute;[B-Action, O, B-Time, B-Task, O, B-Time]  
Setze den Einsatz auf fertig;[B-Action, O, B-Task, O, B-Task]  
Starte die Schicht für den nächsten Einsatz;[B-Action, O, B-Entity, O, O, B-Time, B-Task]  
Wie lange dauert der Einsatz bei Frau Abseher heute;[B-Question, I-Question, O, O, B-Task, O, B-Person, I-Person, B-Time]  
Wann ist mein nächster Einsatz heute;[B-Time, O, O, B-Time, B-Task, B-Time]  
Wie viele Minuten habe ich noch für den aktuellen Einsatz;[B-Question, I-Question, B-Time, O, O, O, O, O, B-Time, B-Task]  
Wann ist der Einsatz von heute beendet;[B-Time, O, O, B-Task, O, B-Time, B-Action]  
Wie viele Einsätze habe ich heute noch;[B-Question, I-Question, B-Task, O, O, B-Time, O]  
Was ist der Name des aktuellen Klienten;[O, O, O, B-Entity, O, B-Time, B-Person]  
Wer ist die Klientin beim nächsten Einsatz;[B-Question, O, O, B-Person, O, B-Time, B-Task]
Wie alt ist der Patient heute;[B-Question, I-Question, O, O, B-Person, B-Time]  
Wer war gestern beim Patienten Peter Pan;[B-Question, O, B-Time, O, B-Person, B-Person, I-Person]  
Wann hat Herr Kosmos zuletzt eine Betreuung gehabt;[B-Time, O,  B-Person, I-Person, B-Time, O, B-Entity, O]  
Trage den Kilometerstand 49768 als Startkilometer ein;[B-Action, O, B-Entity, B-Distance, O, B-Entity, O]  
Trage im Fahrtenbuch die Notiz länger gefahren wegen Stau ein;[O, O, B-Entity, O, B-Action, O, O, O, O, O]  
Welches Auto benutze ich für den heutigen Einsatz;[O, B-Entity, O, O, O, O, B-Time, B-Task]  
Schreibe eine Notiz im Fahrtenbuch rechter Blinker geht nicht mehr;[B-Action, O, B-Action, O, B-Entity, O, O, O, O, O]  
Wie weit ist es zum nächsten Einsatz;[B-Question, I-Question, O, O, O, B-Time, B-Task]  
Rufe die Angehörigen von Herrn Schmidt an;[B-Action, O, B-Person, O, B-Person, I-Person, O]  
Ruf Frau Müller an, um die Einsatzdetails zu besprechen;[B-Action, B-Person, I-Person, O, O, O, B-Task, O, O]  
Rufe die Kontaktperson für den nächsten Einsatz an;[B-Action, O, B-Person, O, O, B-Time, B-Task, O]  
Starte einen Anruf bei der Klientin Lisa Tesser;[B-Action, O,  B-Action, O, O, B-Person, B-Person, I-Person]  
Angehörige des Klienten anrufen;[B-Person, O, B-Person, B-Action]  
Merke dir die Notiz Klient wünscht eine Änderung;[B-Action, O, O, B-Action, B-Person, O, O, B-Entity]  
Füge eine Notiz zum Einsatz hinzu Herr Tumper hat nun eine Katze;[B-Action, O, B-Action, O, B-Task, O, B-Person, I-Person, O, O, O, O]  
Schreibe die Notiz für den Einsatz Arztbesuch notwendig auf;[B-Action, O, B-Action, O, O, B-Task, B-Entity, O, O]
Notiere, dass ich um 10 Uhr beim Einsatz sein muss;[B-Action, O, O, O, B-Time, I-Time, O, B-Task, O, O] 
Notiz Klient möchte morgen früher betreut werden;[B-Action, B-Person, O, B-Time, I-Time, B-Entity, O]  
Wann muss ich morgen beim ersten Einsatz sein;[B-Time, O, O, B-Time, O, B-Time, B-Task, O]  
Wie lange dauert die Fahrt zum nächsten Einsatz;[B-Question, I-Question, O, O, B-Entity, O, B-Time, B-Task]  
Wann endet mein letzter Einsatz heute;[B-Time, I-Time, O, B-Time, B-Task, B-Time]  
Wie viel Zeit habe ich bis zum nächsten Einsatz;[B-Question, I-Question, B-Time, O, O, O, O, B-Time, B-Task]  
Wann beginnt mein Einsatz morgen früh;[B-Time, I-Time, O, B-Task, B-Time, I-Time]  
Wann startet mein Einsatz morgen früh;[B-Time, I-Time, O, B-Task, B-Time, I-Time]  
Einsatz;[B-Task]
Welche Vorekrankungen hat Frau Felber;[O, B-Entity, O. B-Person, I-Person]
Welche Krankheiten hatte Frau Felber;[O, B-Entity, O. B-Person, I-Person]
Wann arbeite ich morgen;[B-Time, B-Action, O, B-Time]
Notiz Patientin möchte morgen früher betreut werden;[B-Action, B-Person, O, B-Time, I-Time, B-Entity, O]
Wie lange habe ich Mittagspause;[B-Question, I-Question, O, O, B-Entity]
Starte meinen Einsatz bei Frau Müller um 08:00 Uhr;[B-Action, O, B-Task, O, B-Person, I-Person, O, B-Time, I-Time]
Starte meinen Einsatz jetzt;[B-Action, O, B-Task, B-Time]
Starte meinen Einsatz bei Georg Opel in 5 Minuten;[B-Action, O, B-Task, O, B-Person, I-Person, O, B-Time, I-Time]
Starte den aktuellen Einsatz in 2 Minuten;[B-Action, O, B-Time, B-Task, O, B-Time, I-Time]
Starte meinen Einsatz bei Herrn Tesal um 12:45 Uhr;[B-Action, O, B-Task, O, B-Person, I-Person, O, B-Time, I-Time]
Starte den Einsatz bei Herrn Tefal um 15:15;[B-Action, O, B-Task, O, B-Person, I-Person, O, B-Time]
Starte die Zeiterfassung für den aktuellen Einsatz;[B-Action, O, B-Entity, O, O, B-Time, B-Task]
Starte die Zeiterfassung für den nächsten Einsatz;[B-Action, O, B-Entity, O, O, B-Time, B-Task]
Starte die Zeiterfassung für den nächsten Einsatz in 10 Minuten;[B-Action, O, B-Entity, O, O, B-Time, B-Task, O, B-Time, I-Time]
Zeiterfassung für den aktuellen Einsatz starten;[B-Entity, O, O, B-Time, B-Task, B-Action]
Einsatz jetzt starten;[B-Task, B-Time, B-Action]
Einsatz bei Julia Tester starten;[B-Task, O, B-Person, I-Person, B-Action]
Beende den Einsatz bei Herrn Schmidt;[B-Action, O, B-Task, O, B-Person, I-Person]
Beende den Einsatz;[B-Action, O, B-Task]
